title,author,genre,status
The Wilderness of Girls,Madeline Claire Franklin,Fantasy,wishlist
"Die Wahrheit über Dinge, die einfach passieren",Ali Benjamin,youth fiction,unread
wir drei verzweigt,Robin Benway,youth fiction,unread
Wie man Wunder wachsen lässt,Tae Keller,youth fiction,wishlist
The Girl Who Couldn’t Lie,Radhika Sanghani,Coming-of-age,wishlist
The Art Thieves,Andrea L. Rogers,Teen fiction,read
Medici Heist,Caitlin Schneiderhan,historical fiction,unread
Mysterious Ways,Wendy Wunder,Coming-of-age,wishlist
Harry Potter and the Chamber of Secrets,J. K. Rowling,fantasy,read
Der Spurenfinder,"Mark Uwe, Luise und Johanna Kling",Fantasy,read
